Blur,Original,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,TODO.started,TODO.stopped,baselineImage.started,baselineImage.stopped,image.started,image.stopped,rating.response,rating.rt,rating.started,rating.stopped,RatingText.started,RatingText.stopped,id,participant,date,expName,psychopyVersion,frameRate,
image/1-blur.jpg,image/1-original.jpg,0,0,0,0,14.34927740006242,None,15.52859800006263,None,17.70999300002586,None,None,None,0.0033438800601288676,None,21.850698180007747,None,gt,78,2020_Oct_21_1152,testScript1,3.2.3,59.93640747586935,
image/2-blur.jpg,image/2-original.jpg,0,1,1,1,,,22.43750630004797,None,24.603685899986885,None,Yes,3.206,0.010605889954604208,None,29.25816109997686,None,gt,78,2020_Oct_21_1152,testScript1,3.2.3,59.93640747586935,
image/3-blur.jpg,image/3-original.jpg,0,2,2,2,,,33.03422470006626,None,35.20238929998595,None,No,1.754,0.01631457998882979,None,39.853046000003815,None,gt,78,2020_Oct_21_1152,testScript1,3.2.3,59.93640747586935,
