Original,Scramble,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,TODO.started,TODO.stopped,baselineImage.started,baselineImage.stopped,image.started,image.stopped,rating.response,rating.rt,rating.started,rating.stopped,RatingText.started,RatingText.stopped,id*,participant*,Interested In(Men/Women)*,date,expName,psychopyVersion,frameRate,
women/1-original.jpg,women/1-scramble.jpg,0,0,0,0,19.145689000026323,None,20.797956399968825,None,22.88166239997372,None,No,1.921,0.003446740098297596,None,27.55136240005959,None,rama,ram,women,2020_Oct_22_1712,EYEswipe,3.2.3,59.68428208466164,
women/10-original.jpg,women/10-scramble.jpg,0,1,1,1,,,30.016405600006692,None,32.141675700084306,None,Yes,2.177,0.0002913200296461582,None,36.79582870006561,None,rama,ram,women,2020_Oct_22_1712,EYEswipe,3.2.3,59.68428208466164,
,,,,,,,,39.53291120007634,None,,,,,,,,,,,,,,,,
