Original,Scramble,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,TODO.started,TODO.stopped,baselineImage.started,baselineImage.stopped,image.started,image.stopped,rating.response,rating.rt,rating.started,rating.stopped,RatingText.started,RatingText.stopped,ThanksText.started,ThanksText.stopped,id*,participant*,Interested In(Men/Women)*,date,expName,psychopyVersion,frameRate,
women1/21-original.jpg,women1/21-scramble.jpg,0,20,20,13,,,187.6227319999598,None,189.74067639996065,None,1,1.254,0.01358433993300423,None,194.5085042999708,None,,,r1,r1,w,2020_Nov_09_1024,EYEswipe,3.2.3,60.02029885893217,
women1/20-original.jpg,women1/20-scramble.jpg,0,21,21,12,,,195.97761839994928,None,197.96576229995117,None,1,0.997,0.013841939973644912,None,202.85642069997266,None,,,r1,r1,w,2020_Nov_09_1024,EYEswipe,3.2.3,60.02029885893217,
women1/8-original.jpg,women1/8-scramble.jpg,0,22,22,32,,,204.0945807999815,None,206.13218759995652,None,3,1.123,0.013870239956304431,None,210.9063818999566,None,,,r1,r1,w,2020_Nov_09_1024,EYEswipe,3.2.3,60.02029885893217,
women1/19-original.jpg,women1/19-scramble.jpg,0,23,23,10,,,212.2352313999436,None,214.2211876999936,None,2,0.722,0.01384213991696015,None,219.09744189999765,None,,,r1,r1,w,2020_Nov_09_1024,EYEswipe,3.2.3,60.02029885893217,
women1/23-original.jpg,women1/23-scramble.jpg,0,24,24,15,,,220.0007365999627,None,222.08655459998408,None,2,0.933,0.013867639994714409,None,226.8441680999822,None,,,r1,r1,w,2020_Nov_09_1024,EYEswipe,3.2.3,60.02029885893217,
women1/1-original.jpg,women1/1-scramble.jpg,0,25,25,0,,,227.9300708999508,None,230.013467199984,None,3,1.175,0.013760040048509836,None,234.8851365999435,None,,,r1,r1,w,2020_Nov_09_1024,EYEswipe,3.2.3,60.02029885893217,
women1/22-original.jpg,women1/22-scramble.jpg,0,26,26,14,,,236.22226640000008,None,238.3146543999901,None,3,0.512,0.013824340014252812,None,243.19256849994417,None,,,r1,r1,w,2020_Nov_09_1024,EYEswipe,3.2.3,60.02029885893217,
women1/18-original.jpg,women1/18-scramble.jpg,0,27,27,9,,,243.90284549997887,None,245.8909858999541,None,2,0.904,0.013810439966619015,None,250.769811199978,None,,,r1,r1,w,2020_Nov_09_1024,EYEswipe,3.2.3,60.02029885893217,
women1/5-original.jpg,women1/5-scramble.jpg,0,28,28,29,,,251.90846969996346,None,254.02342709997902,None,4,0.927,0.013850539980921894,None,258.8028595999931,None,,,r1,r1,w,2020_Nov_09_1024,EYEswipe,3.2.3,60.02029885893217,
women1/26-original.jpg,women1/26-scramble.jpg,0,29,29,18,,,259.927544199978,None,261.8865639999858,None,1,1.305,0.013821239932440221,None,266.765572699951,None,,,r1,r1,w,2020_Nov_09_1024,EYEswipe,3.2.3,60.02029885893217,
women1/25-original.jpg,women1/25-scramble.jpg,0,30,30,17,,,268.25065289996564,None,270.35168239998166,None,2,0.75,0.013815140002407134,None,275.1181943999836,None,,,r1,r1,w,2020_Nov_09_1024,EYEswipe,3.2.3,60.02029885893217,
women1/9-original.jpg,women1/9-scramble.jpg,0,31,31,33,,,276.1399172999663,None,278.20173209998757,None,2,0.667,0.013841739972122014,None,282.9800091999932,None,,,r1,r1,w,2020_Nov_09_1024,EYEswipe,3.2.3,60.02029885893217,
women1/2-original.jpg,women1/2-scramble.jpg,0,32,32,11,,,283.8141736999969,None,285.9385179999517,None,2,1.075,0.013885439955629408,None,290.7010579999769,None,,,r1,r1,w,2020_Nov_09_1024,EYEswipe,3.2.3,60.02029885893217,
women1/33-original.jpg,women1/33-scramble.jpg,0,33,33,26,,,291.9522802999709,None,294.0697704999475,None,2,0.979,0.013843140040989965,None,298.8293487999472,None,,,r1,r1,w,2020_Nov_09_1024,EYEswipe,3.2.3,60.02029885893217,
,,,,,,,,,,,,,,,,,,299.8257058999734,None,,,,,,,,
