Trial Number,State,Device timestamp,Left pupil diameter,Left pupil validity,Right pupil diameter,Right pupil validity,Rating
Trial1,baseline,1454729631,3.232086181640625,1,2.9494781494140625,1,2
Trial1,baseline,1454746286,3.2559051513671875,1,2.9890594482421875,1,2
Trial1,baseline,1454779595,3.250518798828125,1,3.0236053466796875,1,2
Trial1,baseline,1454812905,3.2379608154296875,1,3.0019378662109375,1,2
Trial1,baseline,1454846214,3.2523651123046875,1,3.0121002197265625,1,2
Trial1,baseline,1454879524,3.2457427978515625,1,2.9984893798828125,1,2
Trial1,baseline,1454912833,3.222137451171875,1,3.0245819091796875,1,2
Trial1,baseline,1454929488,3.21124267578125,1,2.9542999267578125,1,2
Trial1,baseline,1454962797,3.142242431640625,1,2.9035186767578125,1,2
Trial1,baseline,1454996106,nan,0,nan,0,2
Trial1,baseline,1455029416,nan,0,nan,0,2
Trial1,baseline,1455062725,nan,0,nan,0,2
Trial1,baseline,1455096035,3.0814361572265625,1,2.7740325927734375,1,2
Trial1,baseline,1455112689,3.0814361572265625,1,2.8201904296875,1,2
Trial1,baseline,1455145999,3.0742645263671875,1,2.83203125,1,2
Trial1,baseline,1455179308,3.1286163330078125,1,2.8700408935546875,1,2
Trial1,baseline,1455212617,3.1141357421875,1,2.876373291015625,1,2
Trial1,baseline,1455245927,3.1513519287109375,1,2.8942718505859375,1,2
Trial1,baseline,1455262581,3.1708221435546875,1,2.9086456298828125,1,2
Trial1,baseline,1455295891,3.171234130859375,1,2.9188385009765625,1,2
Trial1,baseline,1455329200,3.307891845703125,1,3.0912933349609375,1,2
Trial1,baseline,1455362510,3.2359466552734375,1,3.05487060546875,1,2
Trial1,baseline,1455395819,3.2655029296875,1,3.0131072998046875,1,2
Trial1,baseline,1455429128,nan,0,2.858551025390625,1,2
Trial1,baseline,1455445783,nan,0,2.901092529296875,1,2
Trial1,baseline,1455479092,nan,0,2.936767578125,1,2
Trial1,baseline,1455512402,nan,0,2.87286376953125,1,2
Trial1,baseline,1455545711,nan,0,2.801239013671875,1,2
Trial1,baseline,1455579020,nan,0,2.8365936279296875,1,2
Trial1,baseline,1455612330,nan,0,2.7876739501953125,1,2
Trial1,baseline,1455628985,nan,0,2.7340087890625,1,2
Trial1,baseline,1455662294,nan,0,2.7435455322265625,1,2
Trial1,baseline,1455695603,2.86968994140625,1,2.7058868408203125,1,2
Trial1,baseline,1455728913,2.8876495361328125,1,2.6670684814453125,1,2
Trial1,baseline,1455762222,3.0109100341796875,1,2.6985931396484375,1,2
Trial1,baseline,1455778877,3.013580322265625,1,2.67425537109375,1,2
Trial1,baseline,1455812186,2.8988189697265625,1,2.672943115234375,1,2
Trial1,baseline,1455845495,2.8892669677734375,1,2.6806488037109375,1,2
Trial1,baseline,1455878805,2.8782958984375,1,2.6978759765625,1,2
Trial1,baseline,1455912114,2.8837890625,1,2.700103759765625,1,2
Trial1,baseline,1455928769,2.8878326416015625,1,2.8440399169921875,1,2
Trial1,baseline,1455962078,2.8832244873046875,1,2.71820068359375,1,2
Trial1,baseline,1455995388,2.8971405029296875,1,2.7183685302734375,1,2
Trial1,baseline,1456028697,2.95013427734375,1,nan,0,2
Trial1,baseline,1456062006,nan,0,nan,0,2
Trial1,baseline,1456078661,nan,0,nan,0,2
Trial1,baseline,1456111970,nan,0,nan,0,2
Trial1,baseline,1456145280,nan,0,nan,0,2
Trial1,baseline,1456178589,nan,0,nan,0,2
Trial1,baseline,1456211899,nan,0,nan,0,2
Trial1,baseline,1456245208,nan,0,nan,0,2
Trial1,baseline,1456261863,nan,0,nan,0,2
Trial1,baseline,1456295172,nan,0,nan,0,2
Trial1,baseline,1456328481,nan,0,nan,0,2
Trial1,baseline,1456345136,nan,0,nan,0,2
Trial1,baseline,1456361791,nan,0,nan,0,2
Trial1,baseline,1456408648,nan,0,nan,0,2
Trial1,baseline,1456441957,nan,0,nan,0,2
Trial1,baseline,1456475267,nan,0,nan,0,2
Trial1,baseline,1456491921,nan,0,nan,0,2
